date,time,platform,song,artist,album,concert/festival,spotify_id,spotify_preview_url
9/3/18,22:00,youtube,she said,sundara karma,youth is only ever fun in retrospect,n/a,spotify:track:0Sgu2kKr8M0uuqKygi2wrH,https://p.scdn.co/mp3-preview/c676b7cd3dcedebb5466433dbe55f86e8e16f848?cid=774b29d4f13844c495f206cafdad9c86
9/4/18,8:30 ,spotify,a change of heart,the 1975,"i like it when you sleep, for you are so beautiful yet so unaware of it",n/a,spotify:track:035QPHPAcqApSGMMcogT45,https://p.scdn.co/mp3-preview/989a9c2e4b38e7246ea94f4d7acd8d20e05b0fce?cid=774b29d4f13844c495f206cafdad9c86
9/4/18,10:00 ,spotify,pleaser,wallows,spring EP,n/a,spotify:track:11zf7m4vw9Ze7cer9Nyhk1,https://p.scdn.co/mp3-preview/a9c90b81ce8be808460030973995d133102f43e0?cid=774b29d4f13844c495f206cafdad9c86
9/4/18,11:30 ,n/a,n/a,n/a,n/a,n/a,,
9/4/18,13:00 ,n/a,n/a,n/a,n/a,n/a,,
9/4/18,14:30,youtube,give yourself a try,the 1975,a brief inquiry into online relationships,n/a,spotify:track:40QQZP6LVXUP5h79Q5Yvke,https://p.scdn.co/mp3-preview/1baa38e9752cee4bb800dffcf4465af2868dadc5?cid=774b29d4f13844c495f206cafdad9c86
9/4/18,16:00,youtube,charlemagne,blossoms,blossoms,n/a,spotify:track:7H5WVBQdSnJ1zmu8JoD6pg,https://p.scdn.co/mp3-preview/f7eb47055da327557d4fcae81b09557c2029dff8?cid=774b29d4f13844c495f206cafdad9c86
9/4/18,17:30,youtube,7 (acoustic),catfish and the bottlemen,the ride,n/a,spotify:track:2Nz14MtLy82a3togG2EI8l,https://p.scdn.co/mp3-preview/b504a312fd1ac720adb2c86a58b8aa0c40ab36c5?cid=774b29d4f13844c495f206cafdad9c86
9/4/18,19:00,n/a,n/a,n/a,n/a,n/a,,
9/4/18,20:30,spotify,pink skies,lany,kinda,n/a,spotify:track:6BZ6pl5bczDc3cMF1kBaOy,https://p.scdn.co/mp3-preview/1ed93c65c17ac56358f13ba3200c53a860216c76?cid=774b29d4f13844c495f206cafdad9c86
